City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,konya,38.1667,32.5,38.68,60,100,9.66,TR,1680574134
236,tyukalinsk,55.8732,72.1967,31.75,82,10,5.53,RU,1680574134
237,del rio,29.3627,-100.8968,89.71,26,0,8.05,US,1680574134
238,saint-philippe,-21.3585,55.7679,74.79,79,97,5.99,RE,1680574134
239,sinnamary,5.3833,-52.95,76.82,82,95,9.4,GF,1680574134
240,san cristobal,7.7669,-72.225,73.58,81,81,1.83,VE,1680573993
241,jalu,29.0331,21.5482,59.04,46,0,6.67,LY,1680574135
242,vanimo,-2.6741,141.3028,82.27,78,100,2.62,PG,1680574135
243,kilakarai,9.2333,78.7833,84.25,67,32,11.18,IN,1680574135
244,thompson,55.7435,-97.8558,14.16,37,40,3.44,CA,1680573898
245,adre,13.4667,22.2,76.75,16,100,4.81,TD,1680574135
246,longyearbyen,78.2186,15.6401,6.64,61,20,9.22,SJ,1680574136
247,roma,43.2128,-75.4557,49.08,74,100,9.22,US,1680574136
248,douentza,14.9951,-2.9517,78.13,10,0,4.25,ML,1680574136
249,westport,41.1415,-73.3579,50.94,79,0,9.22,US,1680574064
250,nishihara,26.1842,127.7558,73.45,53,75,18.41,JP,1680574136
251,mazagao,-0.115,-51.2894,77.05,92,19,3.24,BR,1680574137
252,rawah,34.4816,41.9093,62.06,53,2,3.76,IQ,1680574137
253,nanortalik,60.1432,-45.2371,30.72,86,96,1.43,GL,1680574137
254,lebanon,36.2081,-86.2911,60.85,87,100,5.75,US,1680574137
255,spornoye,50.8448,37.2913,44.47,97,100,3.67,RU,1680574137
256,zhongshu,24.5167,103.7667,68.36,36,2,18.99,CN,1680574137
257,almaznyy,48.0448,40.045,43.21,95,43,7.14,RU,1680574137
258,norman wells,65.282,-126.8329,23.09,92,32,2.77,CA,1680574046
259,cherskiy,68.75,161.3,6.76,72,99,16.51,RU,1680574138
260,ancud,-41.8697,-73.8203,52.41,93,68,3.96,CL,1680574082
261,lichinga,-13.3128,35.2406,57.6,98,14,4.05,MZ,1680574138
262,progreso,21.2833,-89.6667,88.11,50,28,14.47,MX,1680574138
263,komsomolskiy,40.4272,71.7189,56.12,71,100,4.61,UZ,1680574138
264,nouakchott,18.0858,-15.9785,80.53,33,27,9.78,MR,1680574118
265,cozumel,20.5083,-86.9458,79.95,82,40,4.61,MX,1680574138
266,ponta do sol,32.6667,-17.1,63.23,60,14,12.12,PT,1680574139
267,kati,12.7441,-8.0726,72.81,9,0,3.94,ML,1680574139
268,ulety,51.3572,112.4849,27.07,39,7,15.39,RU,1680574139
269,mount pleasant,32.7941,-79.8626,68.25,93,100,3.44,US,1680573254
270,sayyan,15.1718,44.3244,57.69,70,64,1.28,YE,1680574140
271,porosozero,62.7191,32.727,14.32,97,95,6.13,RU,1680574140
272,tigil,57.8,158.6667,21.7,79,89,3.76,RU,1680574120
273,tazovskiy,67.4667,78.7,6.75,92,100,24.65,RU,1680574141
274,chenghai,23.4632,116.768,69.3,84,100,6.69,CN,1680574141
275,prado,-17.3411,-39.2208,74.17,85,100,7.85,BR,1680574141
276,souillac,-20.5167,57.5167,75.9,87,89,7.78,MU,1680574135
277,ardesen,41.1911,40.9875,55.17,69,56,4.38,TR,1680574142
278,kaeo,-35.1,173.7833,71.33,56,1,2.42,NZ,1680574143
279,ust-karsk,52.7011,118.8077,26.31,55,9,10.4,RU,1680574143
280,urumqi,43.801,87.6005,29.35,27,0,4.47,CN,1680574143
281,beroroha,-21.6667,45.1667,71.2,93,0,0.76,MG,1680574144
282,kroonstad,-27.6504,27.2349,52.03,64,0,3.49,ZA,1680574144
